Index,Sentence,New_Tokens,True_Label,Predicted_Label,True_Targets,Predicted_Targets,True_Words,Predicted_Words
11,<percent> of white woman voted for trump,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
12,friendly reminder that sleeping in the same room as someone is not an invitation to be raped,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
13,these niggas ruined the <number> toyota supra image super bowl,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
14,there are <number> million black kids in the us living in poverty and democrats still choose illegal immigrants first,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,"['African', 'Refugee']",['none'],[],[]
15,leftists are bad at marxmanship anders breivik required <number> shots to kill <number> bernie bro at gop ball field fired <number> rounds <number> kills copenhagen moslem attack had <number> rounds fired with only one dead that was not the cartoonist target,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
16,when most people hate your camera angle choice <user>,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
17,literally if you are a white queer you are immune from cancellation it a get out of jail free card fall back on the community someone will be there to validate your white supremacist views if not one white queer then the next there will not be a shortage,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
18,democrats from minnesota leftist muzzie shithole are the dumbest anti americans there are klobuchar one of the reps is a dumb bitch who has a moronic position on the tax bill fuck this stupid woman,"### Classification:
 hate speech 

### Target Communities:
 Islam 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Islam through words 'leftist muzzie shithole' and 'dumb bitch'.",0,0,"['Women', 'Islam']",['Islam'],['muzzie shithole'],"['leftist muzzie shithole', 'dumb bitch']"
19,tell that to the immigrants who came to america with almost nothing and achieved wealth,"### Classification:
 normal 

### Target Communities:
 Refugee 

### Explanation:
 None",1,1,[],['Refugee'],[],[]
20,new to nsfw twitter • <number> • us • soft hard dom • single • lesbian • she her lt <number> rt for mutual,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",2,1,[],['none'],['hard dom • single • lesbian'],[]
21,glad to hear do not be a sheltered cuck for any side lefties are gay as fuck but gayness is contagious to the right as well but i think you already grasp that,"### Classification:
 offensive 

### Target Communities:
 Homosexual 

### Explanation:
 this sentence is offensive because it contains insult and negative expression against Homosexual through words 'gay as fuck' and 'gayness is contagious'.",0,2,['Homosexual'],['Homosexual'],"['cuck', 'gay']","['gay as fuck', 'gayness is contagious']"
22,<user> real madrid europa bound and spanish division <number> coming up next madrid are being raped on their home ground 😁 courtois is the great keeper and ramos is the world class defender 🤭 lmao,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
23,<user> no i mean white is a term used specifically for europeans caucasians in racial terms that is a parody a a account tho 😛 one of the best taking potshots at woke liberal leftist islamist cabal,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
24,market tops are made in violence market bottoms are made quietly old wall street adage,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
25,concentrate on white genocide jews elites corrupt politicians etc and leave christianity alone,"### Classification:
 hate speech 

### Target Communities:
 Jewish 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Jewish through words 'white genocide jews'.",2,0,['Jewish'],['Jewish'],['genocide jews'],['white genocide jews']
26,merkel needs to be pack raped by a gang of muzzos then ass fucked by african niggers i hope she gets aids and dies in pain,"### Classification:
 hate speech 

### Target Communities:
 African, Islam 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African and Islam through words 'pack raped by a gang of muzzos then ass fucked by african niggers'.",0,0,"['African', 'Islam']","['African', 'Islam']","['pack raped by a gang of muzzos', 'hope she gets aids']",['pack raped by a gang of muzzos then ass fucked by african niggers']
27,<user> no bra is more trailer trash than that 🤔,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
28,<user> where was he when marissa chen was beaten raped and murdered by one of trudeaus refugees,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,[],['none'],[],[]
29,these ain t triple bitch these white lows,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",2,1,[],['none'],['bitch'],[]
30,the bengals head coach is a fucking retard,"### Classification:
 offensive 

### Target Communities:
 None 

### Explanation:
 this sentence is offensive because it contains insult and negative expression through words 'fucking retard'.",2,2,['Disability'],['none'],['retard'],['fucking retard']
31,i been saving this bitch an ass whooping since i was pregnant pero ya anda preñada 🤦 🏻 ‍ ♀ ️,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",2,1,['Women'],['none'],['bitch'],[]
32,niggahs ain ’ t solid and these bitches clowned out,"### Classification:
 hate speech 

### Target Communities:
 African, Women 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African and Women through words 'niggahs' and 'bitches'.",2,0,['African'],"['African', 'Women']",['niggahs'],"['niggahs', 'bitches']"
33,<user> no like they retarded 😭,"### Classification:
 offensive 

### Target Communities:
 None 

### Explanation:
 this sentence is offensive because it contains insult and negative expression through words 'retarded'.",2,2,['None'],['none'],['retarded'],['retarded']
34,on average blacks commit far more crimes but you can not understand averages so enjoy your nigger paradise community,"### Classification:
 hate speech 

### Target Communities:
 African 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African through words 'nigger'.",0,0,['African'],['African'],['nigger'],['nigger']
35,<user> <user> with the circumstances it actually takes more guts to leave a marriage she has no guts she tried to destroy the women bill raped laughter at a child that had been raped while defending the man who raped her she is just arrogant no guts,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
36,bitch thats it im gay n i cant wait imma buy this bitch wednesday,"### Classification:
 offensive 

### Target Communities:
 Women 

### Explanation:
 this sentence is offensive because it contains insult and negative expression against Women through words 'bitch' and 'bitch'.",2,2,['Homosexual'],['Women'],['bitch'],"['bitch', 'bitch']"
37,lol im just laughing my ass off at you for thinking that white identity actually means something i guess then that you identify with the hollywood white commies,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,[],['none'],[],[]
38,mudshark and black diversity,"### Classification:
 hate speech 

### Target Communities:
 African 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African through words 'mudshark'.",2,0,['Women'],['African'],['mudshark'],['mudshark']
39,<user> also clapham is full of white graduates who work in the city,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
40,these dumbass lahori and islamabadi fuckers are gonna get us all killed,"### Classification:
 hate speech 

### Target Communities:
 Islam 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Islam through words 'lahori' and 'islamabadi fuckers'.",0,0,['Islam'],['Islam'],['islamabadi fuckers'],"['lahori', 'islamabadi fuckers']"
41,i see a lot of brown people and stupid women being the ones in these marches young white men know what is up do not let the msm gaslight you to think otherwise,"### Classification:
 hate speech 

### Target Communities:
 Women, Arab 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Women and Arab through words 'brown people' and 'stupid women'.",0,0,"['African', 'Women']","['Women', 'Arab']","['brown people', 'stupid women']","['brown people', 'stupid women']"
42,<user> thot that hoe over there,"### Classification:
 offensive 

### Target Communities:
 Women 

### Explanation:
 this sentence is offensive because it contains insult and negative expression against Women through words 'hoe'.",1,2,['None'],['Women'],[],['hoe']
43,horny ass niggas really scare me like why are you trying to fuck so many women,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
44,<user> i remember when it was great country cooking and a hillbilly country store now its just another commercial shops,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",2,1,[],['none'],['hillbilly'],[]
45,final score at university city in the 1 1 u division the scottsdale argonauts defeat the phoenix grizzlies <number> <number>,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
46,<user> <user> no that a different talentless white man,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
47,ah yes the pseudo penis estrus rite of swinging wildly while some marxist racist white bitch teacher stands in the middle dance nicely caught on an african safari the cameraman must have set up for days behind a blind to catch that shot,"### Classification:
 offensive 

### Target Communities:
 Women, Caucasian 

### Explanation:
 this sentence is offensive because it contains insult and negative expression against Women and Caucasian through words 'marxist racist white bitch'.",2,2,['None'],"['Women', 'Caucasian']",['bitch'],['marxist racist white bitch']
48,look on youtube the nigger chicago gangs with weapons <number> round mags saying fuck trump lmfao you dumb ass punks show there faces lmfao 😂 😃 😄 😄 😄 😅 😅,"### Classification:
 hate speech 

### Target Communities:
 African 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African through words 'nigger'.",0,0,['African'],['African'],['nigger chicago gangs'],['nigger']
49,drugs cash check it fuck with us gucci this nigger,"### Classification:
 hate speech 

### Target Communities:
 African 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African through words 'nigger'.",0,0,['African'],['African'],['nigger'],['nigger']
50,gt raped by light <user> <user>,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",2,1,['None'],['none'],['raped'],[]
51,a black man with a moslem name is an abeed,"### Classification:
 hate speech 

### Target Communities:
 African, Islam 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African and Islam through words 'moslem'.",0,0,"['African', 'Islam']","['African', 'Islam']",['abeed'],['moslem']
52,it not our fault that we got better than them they in their primitive magic monkey mud huts their goatfucking tribal shitholes their savage mestizo injun cannibal teepees it not our responsibility to pull them up to us or even to let them live with us,"### Classification:
 hate speech 

### Target Communities:
 African 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African through words 'primitive magic monkey mud huts', 'goatfucking tribal shitholes' and 'savage mestizo injun cannibal teepees'.",0,0,['African'],['African'],"['monkey', 'goatfucking tribal shitholes', 'savage mestizo injun cannibal teepees']","['primitive magic monkey mud huts', 'goatfucking tribal shitholes', 'savage mestizo injun cannibal teepees']"
53,scrape that shit off,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
54,the irony is if you are a straight white male in decent shape they are going to label you a nazi anyway might as well rock it,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",2,1,['None'],['none'],['nazi'],[]
55,<user> you stupid fat fucking white cracker bitch quit opening your mouth like you have a tic on the red carpet retard,"### Classification:
 hate speech 

### Target Communities:
 Caucasian 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Caucasian through words 'fat fucking white cracker bitch' and 'retard'.",2,0,['Caucasian'],['Caucasian'],['fat fucking white cracker bitch'],"['fat fucking white cracker bitch', 'retard']"
56,<number> mile run was powered by drag queen music and a nutritious breakfast of cinnamon toast crunch and slutty brownies,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
57,it spooky szn so if you want to send me money so i can buy spooky slut costumes please do,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
58,is not malte muslim too sickening tweets,"### Classification:
 normal 

### Target Communities:
 Islam 

### Explanation:
 None",2,1,['Islam'],['Islam'],['muslim'],[]
59,my rising is good news for born again caucasians and the believing black people it not so good for the white men burning to the dead goats pigs elephants those who come back out of the bottomless pit no one like trump a black man in a white man body,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
60,<user> jokes on you because i wouldnt respect any professor who tried to teach me queer theory if they didnt look like a slut,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",2,1,['Other'],['none'],['slut'],[]
61,<number> fucks i do not give muff munching wetback commie bitch,"### Classification:
 hate speech 

### Target Communities:
 Hispanic 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Hispanic through words 'wetback'.",0,0,"['Women', 'Hispanic']",['Hispanic'],"['muff munching wetback', 'bitch']",['wetback']
62,i refuse to become homosexual but sometimes i really fucking hate these african american hood rat nigger bitches 🐐 goat,"### Classification:
 hate speech 

### Target Communities:
 African 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African through words 'african american hood rat nigger bitches 🐐 goat'.",0,0,"['Homosexual', 'African']",['African'],['fucking hate these african american hood rat nigger bitches'],['african american hood rat nigger bitches 🐐 goat']
63,marina makes homosexual music but all her fans are faggots,"### Classification:
 offensive 

### Target Communities:
 Homosexual 

### Explanation:
 this sentence is offensive because it contains insult and negative expression against Homosexual through words 'homosexual music' and 'faggots'.",2,2,['Homosexual'],['Homosexual'],['faggots'],"['homosexual music', 'faggots']"
64,deecee faggots panicking over coyote sightings,"### Classification:
 hate speech 

### Target Communities:
 Homosexual 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Homosexual through words 'faggots'.",0,0,['Homosexual'],['Homosexual'],['faggots'],['faggots']
65,i may have ruined your life but we had a fucking ball did not we bitch do not lie,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",2,1,['Women'],['none'],['bitch'],[]
66,paul some jew or sandnigger is gonna buy gab just to purge you off of this platform so be careful,"### Classification:
 hate speech 

### Target Communities:
 Arab, Jewish 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Arab and Jewish through words 'jew or sandnigger'.",2,0,"['Jewish', 'Arab']","['Arab', 'Jewish']","['jew', 'sandnigger']",['jew or sandnigger']
67,<user> why didnt he ask why ndp attracts ecosocailists who love debt charles is a fucking pussy,"### Classification:
 offensive 

### Target Communities:
 None 

### Explanation:
 this sentence is offensive because it contains insult and negative expression through words 'fucking pussy'.",2,2,['None'],['none'],['fucking pussy'],['fucking pussy']
68,all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴,"### Classification:
 offensive 

### Target Communities:
 Women 

### Explanation:
 this sentence is offensive because it contains insult and negative expression against Women through words 'hoes' and 'thots'.",2,2,['Women'],['Women'],"['hoes i', 'thots']","['hoes', 'thots']"
69,the white middle class college educated useful idiots of the left fail to realize that the leftist establishment only cares about immigration for votes and cheap labor they will not understand this until they are laying in a ditch raped by some spic bleeding to death,"### Classification:
 hate speech 

### Target Communities:
 Hispanic 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Hispanic through words 'spic'.",0,0,['Refugee'],['Hispanic'],"['white middle class college educated useful idiots', 'immigration for votes and cheap labor', 'raped by some spic']",['spic']
70,twerking is actually caused by intentional injuries suicide violence war while <percent> are caused by diarrhea,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
71,nr is not conservative they are just a bunch of retarded cucks no compromise with sexual deviants do not like it move to saudi arabia and find a compromise there,"### Classification:
 offensive 

### Target Communities:
 Other 

### Explanation:
 this sentence is offensive because it contains insult and negative expression against Other through words 'retarded cucks' and 'sexual deviants'.",2,2,['None'],['Other'],"['retarded cucks', 'sexual deviants']","['retarded cucks', 'sexual deviants']"
72,<user> she has her head all the way fcked up bro 😅 like this bitch really out here stunnin for some fckin clout,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",2,1,['None'],['none'],['bitch'],[]
73,we need to change the priority of the refugee program we will take all white south afrikans pariotic britains frenchies germies swedes etc persecuted christians let the invaders finish their countries full of muzzrats liberals off,"### Classification:
 hate speech 

### Target Communities:
 Islam 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Islam through words 'muzzrats'.",0,0,['Islam'],['Islam'],['muzzrats'],['muzzrats']
74,can someone explain to me why people why people like queer eye for the straight guy it seems to me that it perpetuates negative stereotypes about gay men and straight men,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
75,<user> you blasted a kid for saying what amounts to it okay to be white and you routinely and proudly provide support to antifa a communist domestic terrorist organization you are a fraud and a grifter will,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
76,hows her nigger baby doing,"### Classification:
 hate speech 

### Target Communities:
 African 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African through words 'nigger'.",0,0,['African'],['African'],['nigger'],['nigger']
77,<user> ‍ how did master chef jr end up with <number> blond girls a niglet,"### Classification:
 hate speech 

### Target Communities:
 African 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African through words 'niglet'.",2,0,['African'],['African'],['niglet'],['niglet']
78,no to broke girlfriends the ghetto,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",2,1,['Women'],['none'],['ghetto'],[]
79,meh everyone knows you are a sandnigger sharia fag do not you have a mental health facility to be retreating to di sharia,"### Classification:
 hate speech 

### Target Communities:
 Arab, Islam, Homosexual 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Arab, Islam and Homosexual through words 'sandnigger sharia fag'.",0,0,['Arab'],"['Arab', 'Islam', 'Homosexual']",['sandnigger sharia fag'],['sandnigger sharia fag']
80,who cares they are only soulless niggers,"### Classification:
 hate speech 

### Target Communities:
 African 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African through words 'niggers'.",0,0,['African'],['African'],['soulless niggers'],['niggers']
81,is intersectional feminism the redneck ideology of the 2 0 2 0 perhaps dm me to read my essay,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",2,1,[],['none'],['redneck'],[]
82,brokenhearted and slightly retarded,"### Classification:
 offensive 

### Target Communities:
 None 

### Explanation:
 this sentence is offensive because it contains insult and negative expression through words 'retarded'.",1,2,[],['none'],[],['retarded']
83,mike always kill all the culture outfits 😍 🔥 🔥 🔥 🔥 🔥 🔥 🔥,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
84,paid my last speeding ticket today 🎉 also chicago you can kiss my ass you broke bitch stop taking my money 😭,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
85,<user> you turned it on and it was censoring by default now please explain how users like <user> are were marked nsfw by default signed gab fam you fucking sand nigger piece of censoring shit mute button downvote censorship punishment system nsfw tag conflation <number>,"### Classification:
 hate speech 

### Target Communities:
 Arab 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Arab through words 'sand nigger'.",0,0,['Other'],['Arab'],['sand nigger'],['sand nigger']
86,london mayor suckdiq kahn has room for a fellow muzzie terrorist,"### Classification:
 hate speech 

### Target Communities:
 Islam 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Islam through words 'muzzie terrorist'.",0,0,['Islam'],['Islam'],['muzzie terrorist'],['muzzie terrorist']
87,much like the aedes aegypti i only bring disease to humanity and yet some consider me beautiful,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
88,the democrats are in an uproar the president takes the unaffordable burden of the affordable care act off the backs of americans and the fucking democrats say people are going to be uninsured you mean like they were before the government stole their money to pay for illegal immigrant healthcare,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",2,1,['Refugee'],['none'],['illegal immigrant healthcare'],[]
89,true story sitting in the steamroom at my gym with a nigger today we had a conversation or at least tried i asked the nigger what he usually thinks about he said mostly sex and getting high and sometimes food,"### Classification:
 hate speech 

### Target Communities:
 African 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African through words 'nigger' and 'nigger'.",2,0,['African'],['African'],"['nigger', 'nigger']","['nigger', 'nigger']"
90,reyyan looking at the things tht miran brought to her 😍 😍 and amazed by how he knows the size of the shoes she wear 😍 😍 😍 😍 😍 hercai,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
91,good now are there any americans left in minnesota or is it overrun by muzzies who are going to send another jackass to the senate,"### Classification:
 hate speech 

### Target Communities:
 Islam 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Islam through words 'muzzies'.",0,0,[],['Islam'],['muzzies'],['muzzies']
92,i love those liberaltears the muslim ban and the recognition of jerusalem as israel capital shows arabs antisemitism causing more redpillingofthenormies i fucking love you president trump just do not be a cuck to liberals donald <user>,"### Classification:
 hate speech 

### Target Communities:
 Islam 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Islam through words 'muslim ban' and 'arabs antisemitism'.",1,0,"['Arab', 'Islam']",['Islam'],[],"['muslim ban', 'arabs antisemitism']"
93,tfw jews want to ban p*rn <censored> tfw now i agree with jews tfw i change my ideals get owned jews,"### Classification:
 hate speech 

### Target Communities:
 Jewish 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Jewish through words 'jews'.",2,0,['Jewish'],['Jewish'],"['jews', 'get owned jews']",['jews']
94,hey <user> how about stormer women rally and take this nigger raping whore on if she ever again shows her face on gab <user>,"### Classification:
 hate speech 

### Target Communities:
 African, Women 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African and Women through words 'nigger raping whore'.",0,0,['African'],"['African', 'Women']",['nigger'],['nigger raping whore']
95,no refugee will be asked to leave no illegal immigrant will be allowed to stay that for sure jo ukhharna hain ukkhar lo,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
96,<user> dude there all good except woah and extravagant prob weirdo hoes,"### Classification:
 offensive 

### Target Communities:
 Women 

### Explanation:
 this sentence is offensive because it contains insult and negative expression against Women through words 'hoes'.",1,2,['None'],['Women'],[],['hoes']
97,<user> he dindu nuffin wrong,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
98,no aid no contracting to build stuff for them and blockading the east asians from stepping into the breach or giving them the run down on why it better long term to take this approach for both our peoples the populations will collapse due to environmental stressers and perhaps political turmoil,"### Classification:
 normal 

### Target Communities:
 Asian 

### Explanation:
 None",2,1,['Asian'],['Asian'],"['no aid no contracting to build stuff for them', 'blockading the east asians from stepping into the breach']",[]
99,i bet he wears a belt niggers are like retarded retards hopefully this white one will get the actual niggers to boycott america and leave it,"### Classification:
 hate speech 

### Target Communities:
 African 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African through words 'niggers', 'retarded retards' and 'niggers'.",0,0,['African'],['African'],"['niggers', 'niggers']","['niggers', 'retarded retards', 'niggers']"
100,<user> <user> inghimasi إنغماسي someone who infiltrates enemy line without being detected and fights them from within the literal translation is the immersed which corresponds to surrounded all over wrong use of the word jihadi on your part here,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
101,the phrase assad uses chemicals weapons is code for israel wants a final solution implemented on the arabs,"### Classification:
 offensive 

### Target Communities:
 Arab 

### Explanation:
 this sentence is offensive because it contains insult and negative expression against Arab through words 'arabs'.",2,2,"['Arab', 'Jewish']",['Arab'],['israel wants a final solution implemented on the arabs'],['arabs']
102,<user> we are not all in this tohether you fucking kike shill your people are going to get the gassing you habe been been beging for for the last <number> years you christ killing heeb you,"### Classification:
 hate speech 

### Target Communities:
 Jewish 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Jewish through words 'kike'.",0,0,['Jewish'],['Jewish'],"['fucking kike', 'get the gassing', 'christ killing heeb']",['kike']
103,even worse jenner only had to kill one woman to be labeled a woman driver but an afghani moslem that shot <number> brown gays got mislabeled an nra american even after telling <number> he did it because the us attacks his homeland pledged to the islamic state,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
104,love being told by white straight people how to feel about homophobia,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
105,sneaky asians affirmative action is was always anti anglo,"### Classification:
 offensive 

### Target Communities:
 Asian 

### Explanation:
 this sentence is offensive because it contains insult and negative expression against Asian through words 'sneaky asians'.",1,2,['None'],['Asian'],[],['sneaky asians']
106,coming soon with police escort to the uk open muzzie violence against humans in the streets with full support of uk government and police,"### Classification:
 hate speech 

### Target Communities:
 Islam 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against Islam through words 'muzzie'.",0,0,['Islam'],['Islam'],['muzzie'],['muzzie']
107,what if some white bitch heard someone shouting random shit and then they say omg ur so quirky and turns out they have tourettes,"### Classification:
 offensive 

### Target Communities:
 Women, Caucasian 

### Explanation:
 this sentence is offensive because it contains insult and negative expression against Women and Caucasian through words 'white bitch'.",1,2,['None'],"['Women', 'Caucasian']",[],['white bitch']
108,give a nigger an inch they take a mile lol retarded creatures they fuck themselves over every time,"### Classification:
 hate speech 

### Target Communities:
 African 

### Explanation:
 this sentence is hate speech because it uses discriminatory, prejorative, and violent language against African through words 'nigger' and 'retarded'.",0,0,['African'],['African'],"['nigger', 'retarded creatures']","['nigger', 'retarded']"
109,<user> and democrats will never ever again call you racist sexist nazis no sir never,"### Classification:
 normal 

### Target Communities:
 None 

### Explanation:
 None",1,1,['None'],['none'],[],[]
