Index,Sentence,New_Tokens,True_Label,Predicted_Label,True_Targets,Predicted_Targets
16,when most people hate your camera angle choice <user>,"### Target Communities:
 normal 

###",1,-1,['None'],['none']
17,literally if you are a white queer you are immune from cancellation it a get out of jail free card fall back on the community someone will be there to validate your white supremacist views if not one white queer then the next there will not be a shortage,"### Target Communities:
 normal 

###",1,-1,['None'],['none']
18,democrats from minnesota leftist muzzie shithole are the dumbest anti americans there are klobuchar one of the reps is a dumb bitch who has a moronic position on the tax bill fuck this stupid woman,"### Target Communities:
 normal 

###",0,-1,"['Women', 'Islam']",['none']
19,tell that to the immigrants who came to america with almost nothing and achieved wealth,"### Class:
 normal 

### Target:
 None 

### Target:
 None 

### Target:
 None 

### Target:
 None 

### Target Communities
 None 

### Target:
 None 

### Target Communities
 None 

### Target:
 None 

### Target:
 None 

### Target Communities
 None 

### Target:
 None 

### Target:
 None 

### Target Communities
 None 

### Target Communities
 None 

### Target:
 None 

### Target:
 None 

### Target:
 None 

###",1,-1,[],['none']
20,new to nsfw twitter • <number> • us • soft hard dom • single • lesbian • she her lt <number> rt for mutual,"### Target communities:
 normal 

###",2,-1,[],['none']
21,glad to hear do not be a sheltered cuck for any side lefties are gay as fuck but gayness is contagious to the right as well but i think you already grasp that,"### Target Communities normal or offensive 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target normal 

### Target",0,-1,['Homosexual'],['none']
22,<user> real madrid europa bound and spanish division <number> coming up next madrid are being raped on their home ground 😁 courtois is the great keeper and ramos is the world class defender 🤭 lmao,"### Target Communities 

 normal 

### Target Communities 

 normal 

### Target Communities 

 normal 

### Target Communities 

 normal 

### Target Communities 

 normal 

### Target Communities 

 normal 

### Target Communities 

 normal 

### Target Communities 

 normal 

### Target Communities 

 normal 

### Target Communities 

 normal 

### Target Communities 

 normal 

### Target Communities 

 normal 

### Target Communities 

 normal 

### Target Communities",1,-1,['None'],['none']
Index,Sentence,New_Tokens,True_Label,Predicted_Label,True_Targets,Predicted_Targets
0,me getting books from the library about queer cowboys and homoeroticism in cinema instead of anything useful for my thesis,"### Target:
 normal 

### Target:
 normal 

### Target:
 normal 

### Target:
 normal 

### Target:
 normal 

### Target:
 normal 

### Target:
 normal 

### Target",1,-1,['None'],['none']
1,y si fuera top <number> me faltarían how to get away with murder gossip girl the last ship orphan black downton abbey,"### Target Communities 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target 

 normal 

### Target",1,-1,['None'],['none']
2,<user> <user> <user> i am a lesbian not queer and quite frankly his disco tits video was repulsive if he thinks being an overweight gay bloke brings out the woman in him then i am offended it pathetic attention seeking,"### Target Communities 

 offensive 

### Target Communities normal 

 normal",1,-1,['None'],['none']
3,<user> by tweeting about a civil war trump is sending a message to all his gun toting proud boy nazi white supremacist right wing nutjobs to crawl out of the shadows rebel desperate trump will do dangerous things,"### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Communities normal 

### Target Commun normal 

### Target Communities normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun normal 

### Target Commun",1,-1,['None'],['none']
